City,Acceleration(mm/year^2)
Annapolis,2.71107963923078e-05
Apalachicola,0.000198520496589516
AtlanticCity,2.16160351526491e-05
BarHarbor,2.57313724389796e-05
Beaufort,0.000195557842309113
Boston,5.34495591989813e-06
Cambridge,0.000171853373424384
CapeHatteras,-0.000372326186306363
CedarKey,8.77333646882189e-05
Charleston,2.2432975247166e-05
ChesapeakeBayBrTun,-5.21693693772925e-05
DauphinIsland,0.000166777506607853
DuckPierOutside,0.000111311879020327
Eastport,3.84168877111158e-06
FortMyers,0.000159865110801452
FortPulaski,6.6065475150396e-05
Galveston,2.53554381277957e-05
GrandIsle,-1.72723963009567e-05
KeyWest,2.82885380105393e-05
KingsPoint,0.00020988897652032
Kiptopeke,7.59103973010458e-05
LakeWorthPier,0.000130478322289244
LewesBreakwaterHarbor,4.46106125304041e-05
LowerEscuminac,0.000174263874595824
Montauk,9.42046968844676e-05
Nantucket,0.000128559993808769
Neuville,7.41125973358722e-06
NewCanalStation,-0.00120757456857791
NewLondon,6.39571072987302e-05
Newport,3.07258774201904e-05
NorthSydney,0.000161196217259553
Pensacola,4.2504762733583e-05
PortAuxBasques,8.158326464066e-05
PortIsabel,9.96822745538726e-05
Portland,4.06952271164827e-06
Providence,6.2077451003478e-05
ReedyPoint,0.000149648245178623
Rimouski,0.000131363514532319
RiviereAuRenard,0.000192286297985778
Rockport,0.000136407961046558
SandyHook,2.61073839255241e-05
SeptIles,-0.000107085948871473
SewellsPoint,3.6001571313331e-05
SolomonsIsland,5.92363689591516e-05
SpringmaidPier,0.00020412517502081
StFrancois,7.48732278205948e-05
StJohns,1.71065776381037e-05
StJosephDeLaRive,0.000275146595904074
StPetersburg,8.31169293497023e-05
VirginiaKey,0.000503058305036335
Wilmington,7.41056767667144e-05
Yarmouth,0.000117905894491996
